DC_PRODUTO,TOKENS,TAGS
MADEIRA SERR VIGA LOURO,"['MADEIRA', 'SERR', 'VIGA', 'LOURO']","[0, 0, 0, 0]"
"LINHA 3/6 7,50M","['LINHA', '3/6', '7,50M']","[0, 0, 0]"
MADEIRA SERRADA EM PRANCHAO DESDOBRADOS DA ESSENCIA JATOBA (HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'PRANCHAO', 'DESDOBRADOS', 'DA', 'ESSENCIA', 'JATOBA', '(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"TABUA ANDIROBA 3,5","['TABUA', 'ANDIROBA', '3,5']","[0, 0, 0]"
"MADEIRA SERRADA TIPO PRANCHA, ESP. ANGELIM, HYMENOLOBIUM EXCELSUM DUCKE","['MADEIRA', 'SERRADA', 'TIPO', 'PRANCHA,', 'ESP.', 'ANGELIM,', 'HYMENOLOBIUM', 'EXCELSUM', 'DUCKE']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
TIMBORANA SERRADA (VIGA),"['TIMBORANA', 'SERRADA', '(VIGA)']","[0, 0, 0]"
PALITO DE DENTE FIAT LUX,"['PALITO', 'DE', 'DENTE', 'FIAT', 'LUX']","[0, 0, 0, 0, 0]"
"POSTE DE EUCALIPTO TRATADA 3,5 X 16 A 18 - EUCALPITO BARROTE","['POSTE', 'DE', 'EUCALIPTO', 'TRATADA', '3,5', 'X', '16', 'A', '18', '-', 'EUCALPITO', 'BARROTE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PORTA LAMINADA,"['PORTA', 'LAMINADA']","[0, 0]"
MAD. ESP. ANG. VERMELHO INDUSTRIALIZADA DE RESIDUO (CAIBRINHO),"['MAD.', 'ESP.', 'ANG.', 'VERMELHO', 'INDUSTRIALIZADA', 'DE', 'RESIDUO', '(CAIBRINHO)']","[0, 0, 0, 0, 0, 0, 0, 0]"
"CAIBROS   144 DE 3,50MT","['CAIBROS', '144', 'DE', '3,50MT']","[0, 0, 0, 0]"
JATOBA SERRADO TABUAS,"['JATOBA', 'SERRADO', 'TABUAS']","[0, 0, 0]"
MADEIRA SERRADA EM CAIBRO DE JATOBA,"['MADEIRA', 'SERRADA', 'EM', 'CAIBRO', 'DE', 'JATOBA']","[0, 0, 0, 0, 0, 0]"
JANELA MADEIRA 100X80,"['JANELA', 'MADEIRA', '100X80']","[0, 0, 0]"
MADEIRA SERRADA DA ESPECIE MASSARANDUBA VIGAS,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'MASSARANDUBA', 'VIGAS']","[0, 0, 0, 0, 0, 0]"
"LINHA MIX 5X10 2,5MT-MADEIRA","['LINHA', 'MIX', '5X10', '2,5MT-MADEIRA']","[0, 0, 0, 0]"
HYMENAEA COURBARIL L. JATOBÁ- 28-  VIGA,"['HYMENAEA', 'COURBARIL', 'L.', 'JATOBÁ-', '28-', 'VIGA']","[0, 0, 0, 0, 0, 0]"
TABUA MADEIRA MISTA,"['TABUA', 'MADEIRA', 'MISTA']","[0, 0, 0]"
CAIBRO MISTO GUAJARA MAD IND RES,"['CAIBRO', 'MISTO', 'GUAJARA', 'MAD', 'IND', 'RES']","[0, 0, 0, 0, 0, 0]"
MACARANDUBA - MADEIRA SER - SARRAFOS (CAIBRINHO),"['MACARANDUBA', '-', 'MADEIRA', 'SER', '-', 'SARRAFOS', '(CAIBRINHO)']","[0, 0, 0, 0, 0, 0, 0]"
TANIBUCA SERRADA CAIBRO-CAIBRINHO,"['TANIBUCA', 'SERRADA', 'CAIBRO-CAIBRINHO']","[0, 0, 0]"
QUARUBATINGA SERRADO EM VIGOTA,"['QUARUBATINGA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]"
PORTA VENEZIANA 2.10 X 80 CXD ANDIROBA,"['PORTA', 'VENEZIANA', '2.10', 'X', '80', 'CXD', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0]"
MACARANDUBA MAD IND DE RESIDUO CAIBRINHO,"['MACARANDUBA', 'MAD', 'IND', 'DE', 'RESIDUO', 'CAIBRINHO']","[0, 0, 0, 0, 0, 0]"
LINHA MASSARANDUBA 5 X 12,"['LINHA', 'MASSARANDUBA', '5', 'X', '12']","[0, 0, 0, 0, 0]"
TAUARI SERR. TABUA,"['TAUARI', 'SERR.', 'TABUA']","[0, 0, 0]"
MADEIRA SERRADA NA ESPECIE ANGELIM VERMELHO- CAIBRO,"['MADEIRA', 'SERRADA', 'NA', 'ESPECIE', 'ANGELIM', 'VERMELHO-', 'CAIBRO']","[0, 0, 0, 0, 0, 0, 0]"
"PORTA MISTA 2,10X100M","['PORTA', 'MISTA', '2,10X100M']","[0, 0, 0]"
MADEIRA SERRADA PRANCHAO DESDOBRADO DE JATOBA,"['MADEIRA', 'SERRADA', 'PRANCHAO', 'DESDOBRADO', 'DE', 'JATOBA']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGOTA DA ESSENCIA - GUARUBA-CEDRO,"['MADEIRA', 'SERRADA', 'EM', 'VIGOTA', 'DA', 'ESSENCIA', '-', 'GUARUBA-CEDRO']","[0, 0, 0, 0, 0, 0, 0, 0]"
CX PORTA JATOBA 15X70CM COMERC,"['CX', 'PORTA', 'JATOBA', '15X70CM', 'COMERC']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA TIPO (PRANCHA) DA ESPECIE- TIMBORANA,"['MADEIRA', 'SERRADA', 'TIPO', '(PRANCHA)', 'DA', 'ESPECIE-', 'TIMBORANA']","[0, 0, 0, 0, 0, 0, 0]"
ARMADOR IPE,"['ARMADOR', 'IPE']","[0, 0]"
ESPATULA DE PAU,"['ESPATULA', 'DE', 'PAU']","[0, 0, 0]"
"LINHA 5X28 CM ANGELIM C/ 6,0 MT","['LINHA', '5X28', 'CM', 'ANGELIM', 'C/', '6,0', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA DA ESSENCIA - ANDIROBA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESSENCIA', '-', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0, 0]"
CUMARU SERRADO MAD.IND.DE RESIDUO CAIBRINHO,"['CUMARU', 'SERRADO', 'MAD.IND.DE', 'RESIDUO', 'CAIBRINHO']","[0, 0, 0, 0, 0]"
CASCA SECA SERRADA EM CAIBROS,"['CASCA', 'SECA', 'SERRADA', 'EM', 'CAIBROS']","[0, 0, 0, 0, 0]"
MUIRACATIARA MADEIRA SERRADA TÁBUA,"['MUIRACATIARA', 'MADEIRA', 'SERRADA', 'TÁBUA']","[0, 0, 0, 0]"
JATOBA SERRADA EM SARRAFO,"['JATOBA', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO  DA ESPECIE - TAXI,"['MADEIRA', 'SERRADA', 'CAIBRO', 'DA', 'ESPECIE', '-', 'TAXI']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGAS DA ESSENCIA JARANA(LECYTHIS POITEAUI O BERG),"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'DA', 'ESSENCIA', 'JARANA(LECYTHIS', 'POITEAUI', 'O', 'BERG)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CEDRINHO EM VIGA,"['CEDRINHO', 'EM', 'VIGA']","[0, 0, 0]"
GUAJARA SERRADO TABUAS,"['GUAJARA', 'SERRADO', 'TABUAS']","[0, 0, 0]"
CAIBRO MASS/ANG 2.5 METROS UN 1,"['CAIBRO', 'MASS/ANG', '2.5', 'METROS', 'UN', '1']","[0, 0, 0, 0, 0, 0]"
CAIXA BONECA CB101007FL 4-D,"['CAIXA', 'BONECA', 'CB101007FL', '4-D']","[0, 0, 0, 0]"
BREU-SUCURUBA MADEIRA SERRADA EM SARRAFOS,"['BREU-SUCURUBA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0]"
ABIU MADEIRA SERRADA CAIBRO,"['ABIU', 'MADEIRA', 'SERRADA', 'CAIBRO']","[0, 0, 0, 0]"
MADEIRA SERRADA DE EUCALIPTO BRUTA GRADE D,"['MADEIRA', 'SERRADA', 'DE', 'EUCALIPTO', 'BRUTA', 'GRADE', 'D']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA (5X9) 4,00MT PEROBA ROSA","['LINHA', '(5X9)', '4,00MT', 'PEROBA', 'ROSA']","[0, 0, 0, 0, 0]"
CUPIUBA MADEIRA SERRADA EM APROV. CAIBRO(3X5),"['CUPIUBA', 'MADEIRA', 'SERRADA', 'EM', 'APROV.', 'CAIBRO(3X5)']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM SARRAFOS DA ESPECIE -,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESPECIE', '-']","[0, 0, 0, 0, 0, 0, 0]"
"BARROTE 5X5 2,00MT","['BARROTE', '5X5', '2,00MT']","[0, 0, 0]"
MADEIRA SERRADA VIGA DE ROXINHO,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'ROXINHO']","[0, 0, 0, 0, 0]"
"LINHA MASSA 5,0X15 3,5MT-MADEIRA","['LINHA', 'MASSA', '5,0X15', '3,5MT-MADEIRA']","[0, 0, 0, 0]"
CAIBRO IPE 3 5M,"['CAIBRO', 'IPE', '3', '5M']","[0, 0, 0, 0]"
"LINHA MASSA 5,0X15 6,0MT MADEIRA","['LINHA', 'MASSA', '5,0X15', '6,0MT', 'MADEIRA']","[0, 0, 0, 0, 0]"
TABUA MELHOR 30-MADEIRA,"['TABUA', 'MELHOR', '30-MADEIRA']","[0, 0, 0]"
LOURO TAMAQUARE MADEIRA SERRADA EM TABUA,"['LOURO', 'TAMAQUARE', 'MADEIRA', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0, 0]"
MUIRACATIARA 27 - MADEIRA SERRADA (TABUA),"['MUIRACATIARA', '27', '-', 'MADEIRA', 'SERRADA', '(TABUA)']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGOTAS DA ESSENCIA JATOBA (HYMENEAE COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'VIGOTAS', 'DA', 'ESSENCIA', 'JATOBA', '(HYMENEAE', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
IPÊ RIPA GUAJARA 5X1.0CM,"['IPÊ', 'RIPA', 'GUAJARA', '5X1.0CM']","[0, 0, 0, 0]"
ANGELIM-PEDRA MADEIRA SERRADA TAIPA,"['ANGELIM-PEDRA', 'MADEIRA', 'SERRADA', 'TAIPA']","[0, 0, 0, 0]"
BARROTE SERRADO EM RIPAS,"['BARROTE', 'SERRADO', 'EM', 'RIPAS']","[0, 0, 0, 0]"
"FRECHAL 5,00MT PEROBA ROSA","['FRECHAL', '5,00MT', 'PEROBA', 'ROSA']","[0, 0, 0, 0]"
TABUA MISTA 13 CM ML,"['TABUA', 'MISTA', '13', 'CM', 'ML']","[0, 0, 0, 0, 0]"
RIPA ANGILIM 1,"['RIPA', 'ANGILIM', '1']","[0, 0, 0]"
MADEIRA SERRADA EM PRANCHAS DA ESSENCIA MAÇARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER),"['MADEIRA', 'SERRADA', 'EM', 'PRANCHAS', 'DA', 'ESSENCIA', 'MAÇARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO DE MARACATIARA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'DE', 'MARACATIARA']","[0, 0, 0, 0, 0]"
SAFFARO (JATOBÁ),"['SAFFARO', '(JATOBÁ)']","[0, 0]"
TATAJUBA SERRADA EM SARRAFO,"['TATAJUBA', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
CX DE PORTA 2.10X70X13,"['CX', 'DE', 'PORTA', '2.10X70X13']","[0, 0, 0, 0]"
"LINHA MACARANDUBA 5X11 8,0 MT","['LINHA', 'MACARANDUBA', '5X11', '8,0', 'MT']","[0, 0, 0, 0, 0]"
PORTA LAMBRI VENEZIANA 80CM,"['PORTA', 'LAMBRI', 'VENEZIANA', '80CM']","[0, 0, 0, 0]"
MADEIRA SERRADA EM PRANCHÃO DESDOBRADO DA ESPECIA - CEDRO,"['MADEIRA', 'SERRADA', 'EM', 'PRANCHÃO', 'DESDOBRADO', 'DA', 'ESPECIA', '-', 'CEDRO']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA (PRANCHAO DESDOBRADO) DA ESPECIE FAVEIRA  VERMELHA - PARKIA OPPOSITIFOLIA SPRUCE EX BENTH.,"['MADEIRA', 'SERRADA', '(PRANCHAO', 'DESDOBRADO)', 'DA', 'ESPECIE', 'FAVEIRA', 'VERMELHA', '-', 'PARKIA', 'OPPOSITIFOLIA', 'SPRUCE', 'EX', 'BENTH.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"MADEIRITE 5MM 2,20X1,10M RESINADO","['MADEIRITE', '5MM', '2,20X1,10M', 'RESINADO']","[0, 0, 0, 0]"
FORRA MASSARANDUBA 13CM .,"['FORRA', 'MASSARANDUBA', '13CM', '.']","[0, 0, 0, 0]"
LINHA MAD ANGELIM 5X24 6MT,"['LINHA', 'MAD', 'ANGELIM', '5X24', '6MT']","[0, 0, 0, 0, 0]"
"LOURO VERM SERRADO 2,5","['LOURO', 'VERM', 'SERRADO', '2,5']","[0, 0, 0, 0]"
MADEIRA SERRADA EM SARRAFOS NA ESPÉCIE ACAPURANA,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'NA', 'ESPÉCIE', 'ACAPURANA']","[0, 0, 0, 0, 0, 0, 0]"
BARROTE GUAJARA 1M,"['BARROTE', 'GUAJARA', '1M']","[0, 0, 0]"
PRANCHA DE ANGELIM-PEDRA,"['PRANCHA', 'DE', 'ANGELIM-PEDRA']","[0, 0, 0]"
"RIPA MASS 1,2 X 5CM - COM 2,00","['RIPA', 'MASS', '1,2', 'X', '5CM', '-', 'COM', '2,00']","[0, 0, 0, 0, 0, 0, 0, 0]"
MOLDURA OVAL PQ,"['MOLDURA', 'OVAL', 'PQ']","[0, 0, 0]"
MADEIRA SERRADA PRANCHA DA ESPECIE DE JATOBA,"['MADEIRA', 'SERRADA', 'PRANCHA', 'DA', 'ESPECIE', 'DE', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA VIGA DE CAMBARA,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'CAMBARA']","[0, 0, 0, 0, 0]"
MACARANDUBA MAD SERRADA VIGA 14,"['MACARANDUBA', 'MAD', 'SERRADA', 'VIGA', '14']","[0, 0, 0, 0, 0]"
PEQUIARANA - SERRADA EM TABUA ( TAIPA ),"['PEQUIARANA', '-', 'SERRADA', 'EM', 'TABUA', '(', 'TAIPA', ')']","[0, 0, 0, 0, 0, 0, 0, 0]"
"MADEIRA SERRADA EM TÁBUA (TAIPÁ ATÉ 2,5 CM) ESPÉCIE QUARUBA","['MADEIRA', 'SERRADA', 'EM', 'TÁBUA', '(TAIPÁ', 'ATÉ', '2,5', 'CM)', 'ESPÉCIE', 'QUARUBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ANDIROBA SERRADO CAIBRO,"['ANDIROBA', 'SERRADO', 'CAIBRO']","[0, 0, 0]"
RIPA MASSARANDUBA- MISTA,"['RIPA', 'MASSARANDUBA-', 'MISTA']","[0, 0, 0]"
MADEIRA TIPO TABUA P/ ANDAIME - CONSTRUCAO BEZERRA,"['MADEIRA', 'TIPO', 'TABUA', 'P/', 'ANDAIME', '-', 'CONSTRUCAO', 'BEZERRA']","[0, 0, 0, 0, 0, 0, 0, 0]"
QUINA MADEIRA SERRADA EM SARRAFOS,"['QUINA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0]"
"CAIXA DE PORTA JATOBA 2,10X0,80X0,1","['CAIXA', 'DE', 'PORTA', 'JATOBA', '2,10X0,80X0,1']","[0, 0, 0, 0, 0]"
PRANCHA 20CM MACARANDUBA 6M (1 UND),"['PRANCHA', '20CM', 'MACARANDUBA', '6M', '(1', 'UND)']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TÁBUA DA ESSENCIA JATOBA (HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'TÁBUA', 'DA', 'ESSENCIA', 'JATOBA', '(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LINHA ANGELIM VERMELHO 6X13CM 3 00M,"['LINHA', 'ANGELIM', 'VERMELHO', '6X13CM', '3', '00M']","[0, 0, 0, 0, 0, 0]"
PORTA 570 CAFE C/ VIDRO CAPSULA P,"['PORTA', '570', 'CAFE', 'C/', 'VIDRO', 'CAPSULA', 'P']","[0, 0, 0, 0, 0, 0, 0]"
TAXI SERRADO EM TAIPA,"['TAXI', 'SERRADO', 'EM', 'TAIPA']","[0, 0, 0, 0]"
MADEIRA SERRADA EM SARRAFOS DA ESSENCIA -JATOBA,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESSENCIA', '-JATOBA']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA TIPO PRANCHA MELANCIEIRA ALEXA GRANDIFLORA DUCKE,"['MADEIRA', 'SERRADA', 'TIPO', 'PRANCHA', 'MELANCIEIRA', 'ALEXA', 'GRANDIFLORA', 'DUCKE']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA EM QUADRADOS DA ESSENCIA MACARANDUBA(MANILKARA HUBERI(DUCKE)CHEVALIER),"['MADEIRA', 'EM', 'QUADRADOS', 'DA', 'ESSENCIA', 'MACARANDUBA(MANILKARA', 'HUBERI(DUCKE)CHEVALIER)']","[0, 0, 0, 0, 0, 0, 0]"
64 - COPAIBARANA MADEIRA SERRADO EM SARRAFO,"['64', '-', 'COPAIBARANA', 'MADEIRA', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0, 0, 0, 0]"
HYMENAEA COURBARIL L. VAR. COURBARIL - JATOBA-MADEIRA SERRADA-TABUA,"['HYMENAEA', 'COURBARIL', 'L.', 'VAR.', 'COURBARIL', '-', 'JATOBA-MADEIRA', 'SERRADA-TABUA']","[0, 0, 0, 0, 0, 0, 0, 0]"
CAIBRO MADEIRA GUAJARA,"['CAIBRO', 'MADEIRA', 'GUAJARA']","[0, 0, 0]"
LINHA ANGELIM 5X18CM 1.00MTS,"['LINHA', 'ANGELIM', '5X18CM', '1.00MTS']","[0, 0, 0, 0]"
"TABUA PINUS 30 X 3 CM C/ 3,00","['TABUA', 'PINUS', '30', 'X', '3', 'CM', 'C/', '3,00']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA TIPO PRACHOES ESP.MUIRACATIARA,"['MADEIRA', 'SERRADA', 'TIPO', 'PRACHOES', 'ESP.MUIRACATIARA']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA (TABUA) DA ESPECIE JATOBA (HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', '(TABUA)', 'DA', 'ESPECIE', 'JATOBA', '(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"MADEIRA SERRADA EM TÁBUA (TAIPÁ ATÉ 2,5 CM) ESPÉCIE MARUPÁ","['MADEIRA', 'SERRADA', 'EM', 'TÁBUA', '(TAIPÁ', 'ATÉ', '2,5', 'CM)', 'ESPÉCIE', 'MARUPÁ']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CX - PORTAIS MACARANDUBA DESMONTADO,"['CX', '-', 'PORTAIS', 'MACARANDUBA', 'DESMONTADO']","[0, 0, 0, 0, 0]"
BENEFICIADO DIVERSOS BANCO,"['BENEFICIADO', 'DIVERSOS', 'BANCO']","[0, 0, 0]"
MADEIRA PEQUI VIGAS,"['MADEIRA', 'PEQUI', 'VIGAS']","[0, 0, 0]"
MADEIRA SERRADA EM CAIBROS DA ESSENCIA ANGELIM-VERMELHO (DINIZIA EXCELSA DUCKE),"['MADEIRA', 'SERRADA', 'EM', 'CAIBROS', 'DA', 'ESSENCIA', 'ANGELIM-VERMELHO', '(DINIZIA', 'EXCELSA', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CAIBRO MISTO 5X6X1M,"['CAIBRO', 'MISTO', '5X6X1M']","[0, 0, 0]"
CASCAININHO,['CASCAININHO'],[0]
MADEIRA SERRADA PRANCHA DE CEDRINHO,"['MADEIRA', 'SERRADA', 'PRANCHA', 'DE', 'CEDRINHO']","[0, 0, 0, 0, 0]"
JATOBA SERR. SARRAFO,"['JATOBA', 'SERR.', 'SARRAFO']","[0, 0, 0]"
"CX DE PORTA CUPIUBA 0,80X2,10X0,13","['CX', 'DE', 'PORTA', 'CUPIUBA', '0,80X2,10X0,13']","[0, 0, 0, 0, 0]"
"LINHA MACARANDUBA 5X11 4,5 MT","['LINHA', 'MACARANDUBA', '5X11', '4,5', 'MT']","[0, 0, 0, 0, 0]"
LINHA CUPIUBA 5 X 20 DE 10.00,"['LINHA', 'CUPIUBA', '5', 'X', '20', 'DE', '10.00']","[0, 0, 0, 0, 0, 0, 0]"
