DC_PRODUTO,TOKENS,TAGS,text
PORTA LAMINADA JATOBA 210 X 90 PORMATEX,"['PORTA', 'LAMINADA', 'JATOBA', '210', 'X', '90', 'PORMATEX']","[0, 0, 0, 0, 0, 0, 0]",porta laminada jatoba 210 x 90 pormatex
MADEIRA SERRADA VIGA DE MAÇARANDUBA,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0]",madeira serrada viga de macaranduba
RIPA,['RIPA'],[0],ripa
"CAIBRO MASSA 2,5MT","['CAIBRO', 'MASSA', '2,5MT']","[0, 0, 0]","caibro massa 2,5mt"
GUAJARA BOLACHA MAD IND DE RESIDUO (SHORT-SARRAFO),"['GUAJARA', 'BOLACHA', 'MAD', 'IND', 'DE', 'RESIDUO', '(SHORT-SARRAFO)']","[0, 0, 0, 0, 0, 0, 0]",guajara bolacha mad ind de residuo (short-sarrafo)
SARRAFO 7X2CM PINUS,"['SARRAFO', '7X2CM', 'PINUS']","[0, 0, 0]",sarrafo 7x2cm pinus
MUIRACATIARA SERRADA,"['MUIRACATIARA', 'SERRADA']","[0, 0]",muiracatiara serrada
MACARANDUBA MADEIRA SERRADA RIPA,"['MACARANDUBA', 'MADEIRA', 'SERRADA', 'RIPA']","[0, 0, 0, 0]",macaranduba madeira serrada ripa
CAIBRO MAÇARANDUBA,"['CAIBRO', 'MAÇARANDUBA']","[0, 0]",caibro macaranduba
LINHA 5X20CM MISTA,"['LINHA', '5X20CM', 'MISTA']","[0, 0, 0]",linha 5x20cm mista
CAIBRO 3X5 4.50MT DE MASSARANDUBA,"['CAIBRO', '3X5', '4.50MT', 'DE', 'MASSARANDUBA']","[0, 0, 0, 0, 0]",caibro 3x5 4.50mt de massaranduba
PALITOS P/ DENTES AUREA GDE,"['PALITOS', 'P/', 'DENTES', 'AUREA', 'GDE']","[0, 0, 0, 0, 0]",palitos p/ dentes aurea gde
"RIPA MISTA 1,3X5X1M","['RIPA', 'MISTA', '1,3X5X1M']","[0, 0, 0]","ripa mista 1,3x5x1m"
LINHA 5X20CM MASSARANDUBA,"['LINHA', '5X20CM', 'MASSARANDUBA']","[0, 0, 0]",linha 5x20cm massaranduba
MASSARANDUBA VIGA,"['MASSARANDUBA', 'VIGA']","[0, 0]",massaranduba viga
ESPETO P/CHURRASCO BAMBU FIAT LUX 10X100,"['ESPETO', 'P/CHURRASCO', 'BAMBU', 'FIAT', 'LUX', '10X100']","[0, 0, 0, 0, 0, 0]",espeto p/churrasco bambu fiat lux 10x100
CAIBROS 5X3.5,"['CAIBROS', '5X3.5']","[0, 0]",caibros 5x3.5
"LINHA MIX 3X6 5,5MT","['LINHA', 'MIX', '3X6', '5,5MT']","[0, 0, 0, 0]","linha mix 3x6 5,5mt"
"LINHAS DE 5,5 METROS DE 14C","['LINHAS', 'DE', '5,5', 'METROS', 'DE', '14C']","[0, 0, 0, 0, 0, 0]","linhas de 5,5 metros de 14c"
"LINHAS DE 3,5 METROS DE 14CM","['LINHAS', 'DE', '3,5', 'METROS', 'DE', '14CM']","[0, 0, 0, 0, 0, 0]","linhas de 3,5 metros de 14cm"
CAIBROS,['CAIBROS'],[0],caibros
LINHA 5X12CM MISTA,"['LINHA', '5X12CM', 'MISTA']","[0, 0, 0]",linha 5x12cm mista
PV-KIT COLHER / ESPATULA EM MADE,"['PV-KIT', 'COLHER', '/', 'ESPATULA', 'EM', 'MADE']","[0, 0, 0, 0, 0, 0]",pv-kit colher / espatula em made
TABUA DE 30X2.2CM,"['TABUA', 'DE', '30X2.2CM']","[0, 0, 0]",tabua de 30x2.2cm
"LINHA MASS 5 X 24 - 6,50","['LINHA', 'MASS', '5', 'X', '24', '-', '6,50']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 24 - 6,50"
"MADEIRITE PLASTIFICADO 1,10 X 2,20 12MM","['MADEIRITE', 'PLASTIFICADO', '1,10', 'X', '2,20', '12MM']","[0, 0, 0, 0, 0, 0]","madeirite plastificado 1,10 x 2,20 12mm"
MADEIRA ANGELIM VERMELHO SERRADA EM VIGOTA,"['MADEIRA', 'ANGELIM', 'VERMELHO', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0, 0]",madeira angelim vermelho serrada em vigota
"LINHA MASS 5 X 24 - 3,00","['LINHA', 'MASS', '5', 'X', '24', '-', '3,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 24 - 3,00"
"PORTA JATOBA DIAG 0,90 X 2,10","['PORTA', 'JATOBA', 'DIAG', '0,90', 'X', '2,10']","[0, 0, 0, 0, 0, 0]","porta jatoba diag 0,90 x 2,10"
JATOBA PRANCHA - M,"['JATOBA', 'PRANCHA', '-', 'M']","[0, 0, 0, 0]",jatoba prancha - m
LINHA 5X24 ANGELIM 4.50MT,"['LINHA', '5X24', 'ANGELIM', '4.50MT']","[0, 0, 0, 0]",linha 5x24 angelim 4.50mt
"LINHA MIX 3X4 4,5MT","['LINHA', 'MIX', '3X4', '4,5MT']","[0, 0, 0, 0]","linha mix 3x4 4,5mt"
JATOBA SERD PRANCHAS,"['JATOBA', 'SERD', 'PRANCHAS']","[0, 0, 0]",jatoba serd pranchas
MACARANDUBA SERR. IND.RES.RIPA MANI,"['MACARANDUBA', 'SERR.', 'IND.RES.RIPA', 'MANI']","[0, 0, 0, 0]",macaranduba serr. ind.res.ripa mani
"TABUA 30X3,0CM MISTA","['TABUA', '30X3,0CM', 'MISTA']","[0, 0, 0]","tabua 30x3,0cm mista"
"LINHAS DE 7,5 MEROS DE 12 CM","['LINHAS', 'DE', '7,5', 'MEROS', 'DE', '12', 'CM']","[0, 0, 0, 0, 0, 0, 0]","linhas de 7,5 meros de 12 cm"
"LINHA 5 X 11.5CM 3,50MT ANG.","['LINHA', '5', 'X', '11.5CM', '3,50MT', 'ANG.']","[0, 0, 0, 0, 0, 0]","linha 5 x 11.5cm 3,50mt ang."
LINHA 5X14CM MISTA,"['LINHA', '5X14CM', 'MISTA']","[0, 0, 0]",linha 5x14cm mista
RIPA ANGELIM 5X1.0CM,"['RIPA', 'ANGELIM', '5X1.0CM']","[0, 0, 0]",ripa angelim 5x1.0cm
JOGO 3 COLHERES EM MADEIRA,"['JOGO', '3', 'COLHERES', 'EM', 'MADEIRA']","[0, 0, 0, 0, 0]",jogo 3 colheres em madeira
KIT PALLET ONE WEY ELIZ 1200X1100MM - 0000000154321,"['KIT', 'PALLET', 'ONE', 'WEY', 'ELIZ', '1200X1100MM', '-', '0000000154321']","[0, 0, 0, 0, 0, 0, 0, 0]",kit pallet one wey eliz 1200x1100mm - 0000000154321
"TABUA 15X2,0CM PINUS","['TABUA', '15X2,0CM', 'PINUS']","[0, 0, 0]","tabua 15x2,0cm pinus"
MADEIRA BENEFICIADA ( PORTAIS COM ALIZARES  ) DA ESPECIE JATOBA,"['MADEIRA', 'BENEFICIADA', '(', 'PORTAIS', 'COM', 'ALIZARES', ')', 'DA', 'ESPECIE', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada ( portais com alizares  ) da especie jatoba
IPE MAD IND DE RESIDUO CAIBRINHO,"['IPE', 'MAD', 'IND', 'DE', 'RESIDUO', 'CAIBRINHO']","[0, 0, 0, 0, 0, 0]",ipe mad ind de residuo caibrinho
MACARANDUBA SERR. EM SARRAFO,"['MACARANDUBA', 'SERR.', 'EM', 'SARRAFO']","[0, 0, 0, 0]",macaranduba serr. em sarrafo
LINHA 5X11 ANGELIM 5.00MT,"['LINHA', '5X11', 'ANGELIM', '5.00MT']","[0, 0, 0, 0]",linha 5x11 angelim 5.00mt
TIMBORANA TABUA - M,"['TIMBORANA', 'TABUA', '-', 'M']","[0, 0, 0, 0]",timborana tabua - m
"TABUA 30X2,0CM PINUS","['TABUA', '30X2,0CM', 'PINUS']","[0, 0, 0]","tabua 30x2,0cm pinus"
TIMBURANA SERRADO,"['TIMBURANA', 'SERRADO']","[0, 0]",timburana serrado
PV-JOGO COZINHA EM MADEIRA,"['PV-JOGO', 'COZINHA', 'EM', 'MADEIRA']","[0, 0, 0, 0]",pv-jogo cozinha em madeira
MADEIRA SERRADA TIPO SARRAFO DA ESPECIE MAÇARANDUBA,"['MADEIRA', 'SERRADA', 'TIPO', 'SARRAFO', 'DA', 'ESPECIE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo sarrafo da especie macaranduba
FOLHA DE LOURO ERVAS7TEMPERO,"['FOLHA', 'DE', 'LOURO', 'ERVAS7TEMPERO']","[0, 0, 0, 0]",folha de louro ervas7tempero
ANGELIM VERMELHO SERRADO VIGAS,"['ANGELIM', 'VERMELHO', 'SERRADO', 'VIGAS']","[0, 0, 0, 0]",angelim vermelho serrado vigas
RIPAS (1.2X5CM) MADEIRA MASSARANDUBA,"['RIPAS', '(1.2X5CM)', 'MADEIRA', 'MASSARANDUBA']","[0, 0, 0, 0]",ripas (1.2x5cm) madeira massaranduba
CAIBRO 3X5CM MISTO,"['CAIBRO', '3X5CM', 'MISTO']","[0, 0, 0]",caibro 3x5cm misto
RIPAS,['RIPAS'],[0],ripas
PALITO CORY MEIO AMARGO,"['PALITO', 'CORY', 'MEIO', 'AMARGO']","[0, 0, 0, 0]",palito cory meio amargo
PV-ROLO DE MASSAS EM MADEIRA,"['PV-ROLO', 'DE', 'MASSAS', 'EM', 'MADEIRA']","[0, 0, 0, 0, 0]",pv-rolo de massas em madeira
PV-CONJUNTO DE UTENSILIOS PARA C,"['PV-CONJUNTO', 'DE', 'UTENSILIOS', 'PARA', 'C']","[0, 0, 0, 0, 0]",pv-conjunto de utensilios para c
BARROTE 5X5CM MASSAR,"['BARROTE', '5X5CM', 'MASSAR']","[0, 0, 0]",barrote 5x5cm massar
LINHA 5X09 ANGELIM 3.50MT,"['LINHA', '5X09', 'ANGELIM', '3.50MT']","[0, 0, 0, 0]",linha 5x09 angelim 3.50mt
LINHA 5X12CM MASSARANDUBA,"['LINHA', '5X12CM', 'MASSARANDUBA']","[0, 0, 0]",linha 5x12cm massaranduba
"RIPA MASSARANDUBA 3,0MT MADEIRA","['RIPA', 'MASSARANDUBA', '3,0MT', 'MADEIRA']","[0, 0, 0, 0]","ripa massaranduba 3,0mt madeira"
TABUA DE PINNUS MARCENEIRO 3M X 30 X 2.5,"['TABUA', 'DE', 'PINNUS', 'MARCENEIRO', '3M', 'X', '30', 'X', '2.5']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",tabua de pinnus marceneiro 3m x 30 x 2.5
PIQUIA TABUA - M,"['PIQUIA', 'TABUA', '-', 'M']","[0, 0, 0, 0]",piquia tabua - m
MACARANDUBA EM PRANCHA,"['MACARANDUBA', 'EM', 'PRANCHA']","[0, 0, 0]",macaranduba em prancha
BARROTE 5X5CM MISTA,"['BARROTE', '5X5CM', 'MISTA']","[0, 0, 0]",barrote 5x5cm mista
LINHA 5X13 ANGELIM 3.50MT,"['LINHA', '5X13', 'ANGELIM', '3.50MT']","[0, 0, 0, 0]",linha 5x13 angelim 3.50mt
PV-KIT TABUA E MARTELO EM MADEIR,"['PV-KIT', 'TABUA', 'E', 'MARTELO', 'EM', 'MADEIR']","[0, 0, 0, 0, 0, 0]",pv-kit tabua e martelo em madeir
"LINHA MIX 3X4 6,0MT MADEIRA","['LINHA', 'MIX', '3X4', '6,0MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha mix 3x4 6,0mt madeira"
MAD DA ESPECIE CUPIUBA INDUS DE RES DE RIPA,"['MAD', 'DA', 'ESPECIE', 'CUPIUBA', 'INDUS', 'DE', 'RES', 'DE', 'RIPA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",mad da especie cupiuba indus de res de ripa
LINHA 5X11 ANGELIM 4.50MT,"['LINHA', '5X11', 'ANGELIM', '4.50MT']","[0, 0, 0, 0]",linha 5x11 angelim 4.50mt
LINHA ANGELIM 5 X 9,"['LINHA', 'ANGELIM', '5', 'X', '9']","[0, 0, 0, 0, 0]",linha angelim 5 x 9
CAIBRINHO EM ANGELIM VERMELHO M3,"['CAIBRINHO', 'EM', 'ANGELIM', 'VERMELHO', 'M3']","[0, 0, 0, 0, 0]",caibrinho em angelim vermelho m3
LINHA 5X11CM ( 3X5??) ANGELIM VERMELHO,"['LINHA', '5X11CM', '(', '3X5??)', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0]",linha 5x11cm ( 3x5??) angelim vermelho
"LINHA MACARANDUBA 5,50 X 20 3/8","['LINHA', 'MACARANDUBA', '5,50', 'X', '20', '3/8']","[0, 0, 0, 0, 0, 0]","linha macaranduba 5,50 x 20 3/8"
"MOURAO DE EUC. IMUNIZADO 4,0 M - 04/06","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '4,0', 'M', '-', '04/06']","[0, 0, 0, 0, 0, 0, 0, 0]","mourao de euc. imunizado 4,0 m - 04/06"
CAIBRO 5X3 ANGELIN 3.50MT,"['CAIBRO', '5X3', 'ANGELIN', '3.50MT']","[0, 0, 0, 0]",caibro 5x3 angelin 3.50mt
RIPAO 1X5CM MASSARANDUBA,"['RIPAO', '1X5CM', 'MASSARANDUBA']","[0, 0, 0]",ripao 1x5cm massaranduba
MADEIRA MACARADUBA SER. EM RIPA,"['MADEIRA', 'MACARADUBA', 'SER.', 'EM', 'RIPA']","[0, 0, 0, 0, 0]",madeira macaraduba ser. em ripa
PALITOS PARA DENTE A,"['PALITOS', 'PARA', 'DENTE', 'A']","[0, 0, 0, 0]",palitos para dente a
ASSOALHO DE IPE,"['ASSOALHO', 'DE', 'IPE']","[0, 0, 0]",assoalho de ipe
MADEIRITE 1.10X2.20 COMUM 05MM,"['MADEIRITE', '1.10X2.20', 'COMUM', '05MM']","[0, 0, 0, 0]",madeirite 1.10x2.20 comum 05mm
"ND SARRAFO PINUS APARELHADO 2,5X5CM M/L-NEDRI/OLIVA/FORROVEL","['ND', 'SARRAFO', 'PINUS', 'APARELHADO', '2,5X5CM', 'M/L-NEDRI/OLIVA/FORROVEL']","[0, 0, 0, 0, 0, 0]","nd sarrafo pinus aparelhado 2,5x5cm m/l-nedri/oliva/forrovel"
MADEIRA SERRADA VIGA CUPIUBA,"['MADEIRA', 'SERRADA', 'VIGA', 'CUPIUBA']","[0, 0, 0, 0]",madeira serrada viga cupiuba
QUARUBARANA SERRADA EM VIGOTAS,"['QUARUBARANA', 'SERRADA', 'EM', 'VIGOTAS']","[0, 0, 0, 0]",quarubarana serrada em vigotas
"RIPA 1,5X3","['RIPA', '1,5X3']","[0, 0]","ripa 1,5x3"
CAIBRO MASSAR,"['CAIBRO', 'MASSAR']","[0, 0]",caibro massar
PALITO DE DENTES AUREA 100UND,"['PALITO', 'DE', 'DENTES', 'AUREA', '100UND']","[0, 0, 0, 0, 0]",palito de dentes aurea 100und
"PRANCHAO DE MADEIRA  4,0CM X 30CM X 2,00M","['PRANCHAO', 'DE', 'MADEIRA', '4,0CM', 'X', '30CM', 'X', '2,00M']","[0, 0, 0, 0, 0, 0, 0, 0]","pranchao de madeira  4,0cm x 30cm x 2,00m"
TIMBORANA SERRADA EM PRANCHAO DESDOBRADO,"['TIMBORANA', 'SERRADA', 'EM', 'PRANCHAO', 'DESDOBRADO']","[0, 0, 0, 0, 0]",timborana serrada em pranchao desdobrado
PALITO CHU FIAT LUX 100U BAMBU,"['PALITO', 'CHU', 'FIAT', 'LUX', '100U', 'BAMBU']","[0, 0, 0, 0, 0, 0]",palito chu fiat lux 100u bambu
LOURO EM FOLHA C/04 GR,"['LOURO', 'EM', 'FOLHA', 'C/04', 'GR']","[0, 0, 0, 0, 0]",louro em folha c/04 gr
TABUA LARGURA 25CM,"['TABUA', 'LARGURA', '25CM']","[0, 0, 0]",tabua largura 25cm
"CAIBRO ANGELIM 4,50MTS","['CAIBRO', 'ANGELIM', '4,50MTS']","[0, 0, 0]","caibro angelim 4,50mts"
LINHA DE ANGELIM (3X4),"['LINHA', 'DE', 'ANGELIM', '(3X4)']","[0, 0, 0, 0]",linha de angelim (3x4)
BEIRAL DE 10CM,"['BEIRAL', 'DE', '10CM']","[0, 0, 0]",beiral de 10cm
MACARANDUBA MAD SERRADA RIPAS,"['MACARANDUBA', 'MAD', 'SERRADA', 'RIPAS']","[0, 0, 0, 0]",macaranduba mad serrada ripas
CAIBRO 5X3 ANGELIM 7.00MT,"['CAIBRO', '5X3', 'ANGELIM', '7.00MT']","[0, 0, 0, 0]",caibro 5x3 angelim 7.00mt
LINHA 5X10CM MISTA,"['LINHA', '5X10CM', 'MISTA']","[0, 0, 0]",linha 5x10cm mista
LINHA 5X18 ANGELIM 5.50MT,"['LINHA', '5X18', 'ANGELIM', '5.50MT']","[0, 0, 0, 0]",linha 5x18 angelim 5.50mt
ANDIROBA SERRADO,"['ANDIROBA', 'SERRADO']","[0, 0]",andiroba serrado
TANIBUCA SERRADA EM  VIGA,"['TANIBUCA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0]",tanibuca serrada em  viga
"RIPA MIXTA 5,5MT","['RIPA', 'MIXTA', '5,5MT']","[0, 0, 0]","ripa mixta 5,5mt"
MACARANDUBA SERRADO EM VIGOTA,"['MACARANDUBA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]",macaranduba serrado em vigota
LOURO KATALYN 5G,"['LOURO', 'KATALYN', '5G']","[0, 0, 0]",louro katalyn 5g
PORTA DE PINUS 80CM,"['PORTA', 'DE', 'PINUS', '80CM']","[0, 0, 0, 0]",porta de pinus 80cm
RIPA ANGELIM 300 MT 5 X 12,"['RIPA', 'ANGELIM', '300', 'MT', '5', 'X', '12']","[0, 0, 0, 0, 0, 0, 0]",ripa angelim 300 mt 5 x 12
MADEIRA MACARANDUBA SERRADA EM SARRAFO,"['MADEIRA', 'MACARANDUBA', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0, 0]",madeira macaranduba serrada em sarrafo
BROXA RET. C/CABO 18 X 8CM,"['BROXA', 'RET.', 'C/CABO', '18', 'X', '8CM']","[0, 0, 0, 0, 0, 0]",broxa ret. c/cabo 18 x 8cm
PALITOS AUREA,"['PALITOS', 'AUREA']","[0, 0]",palitos aurea
"BARROTES DE 4,5 METROS","['BARROTES', 'DE', '4,5', 'METROS']","[0, 0, 0, 0]","barrotes de 4,5 metros"
LOURO EM FOLHA KATALYN 5G,"['LOURO', 'EM', 'FOLHA', 'KATALYN', '5G']","[0, 0, 0, 0, 0]",louro em folha katalyn 5g
OSB 8MM,"['OSB', '8MM']","[0, 0]",osb 8mm
RIPA GUAJARA,"['RIPA', 'GUAJARA']","[0, 0]",ripa guajara
GUAJARA BOL  RIPA CURTA,"['GUAJARA', 'BOL', 'RIPA', 'CURTA']","[0, 0, 0, 0]",guajara bol  ripa curta
MASSARANDUBA RIPA,"['MASSARANDUBA', 'RIPA']","[0, 0]",massaranduba ripa
PORTA 2 10X1 20 TABICAO CX DUPLA ANDIROBA,"['PORTA', '2', '10X1', '20', 'TABICAO', 'CX', 'DUPLA', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0, 0]",porta 2 10x1 20 tabicao cx dupla andiroba
"CAIXA DE PORTA JATOBA 14CM X 0,70","['CAIXA', 'DE', 'PORTA', 'JATOBA', '14CM', 'X', '0,70']","[0, 0, 0, 0, 0, 0, 0]","caixa de porta jatoba 14cm x 0,70"
LOURO PRODUTOS SERIDO 5G,"['LOURO', 'PRODUTOS', 'SERIDO', '5G']","[0, 0, 0, 0]",louro produtos serido 5g
"LINHA MIX 3X4 4,0MT MADEIRA","['LINHA', 'MIX', '3X4', '4,0MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha mix 3x4 4,0mt madeira"
ANGELIM VERM APROVEITAMENTO CAIBRINHO,"['ANGELIM', 'VERM', 'APROVEITAMENTO', 'CAIBRINHO']","[0, 0, 0, 0]",angelim verm aproveitamento caibrinho
MADEIRA RIPA MACARANDUBA 5X1CM,"['MADEIRA', 'RIPA', 'MACARANDUBA', '5X1CM']","[0, 0, 0, 0]",madeira ripa macaranduba 5x1cm
BARROTE 5X6 ANGELIM 3.50MT,"['BARROTE', '5X6', 'ANGELIM', '3.50MT']","[0, 0, 0, 0]",barrote 5x6 angelim 3.50mt
BARROTE 5X5CM MISTO,"['BARROTE', '5X5CM', 'MISTO']","[0, 0, 0]",barrote 5x5cm misto
LINHA 5X20CM MASSAR,"['LINHA', '5X20CM', 'MASSAR']","[0, 0, 0]",linha 5x20cm massar
SARRAFO 10X2CM MISTO,"['SARRAFO', '10X2CM', 'MISTO']","[0, 0, 0]",sarrafo 10x2cm misto
MEXEDOR EM ARAME,"['MEXEDOR', 'EM', 'ARAME']","[0, 0, 0]",mexedor em arame
"LINHA MIX 3X5 4,0MT MADEIRA","['LINHA', 'MIX', '3X5', '4,0MT', 'MADEIRA']","[0, 0, 0, 0, 0]","linha mix 3x5 4,0mt madeira"
FRECHAL 5X4 ANGELIM 4.00MT,"['FRECHAL', '5X4', 'ANGELIM', '4.00MT']","[0, 0, 0, 0]",frechal 5x4 angelim 4.00mt
CAIBRO MISTO 3X5,"['CAIBRO', 'MISTO', '3X5']","[0, 0, 0]",caibro misto 3x5
CHA DE LOURO KATALYN 5G,"['CHA', 'DE', 'LOURO', 'KATALYN', '5G']","[0, 0, 0, 0, 0]",cha de louro katalyn 5g
RESIDUO PARA APROVEITAMENTO INDUSTRIAL SHORT SARRAFO DE PEQUI,"['RESIDUO', 'PARA', 'APROVEITAMENTO', 'INDUSTRIAL', 'SHORT', 'SARRAFO', 'DE', 'PEQUI']","[0, 0, 0, 0, 0, 0, 0, 0]",residuo para aproveitamento industrial short sarrafo de pequi
CAIBRO SERRADO MACARANDUBA,"['CAIBRO', 'SERRADO', 'MACARANDUBA']","[0, 0, 0]",caibro serrado macaranduba
"RIPA ANGELIN (5X1,2CM) METRO","['RIPA', 'ANGELIN', '(5X1,2CM)', 'METRO']","[0, 0, 0, 0]","ripa angelin (5x1,2cm) metro"
LINHA 5X13 ANGELIM 4.00MT,"['LINHA', '5X13', 'ANGELIM', '4.00MT']","[0, 0, 0, 0]",linha 5x13 angelim 4.00mt
CAIBRO 5X3 ANGELIN 5.00MT,"['CAIBRO', '5X3', 'ANGELIN', '5.00MT']","[0, 0, 0, 0]",caibro 5x3 angelin 5.00mt
"RIPA MASSARANDUBA 5,0MT","['RIPA', 'MASSARANDUBA', '5,0MT']","[0, 0, 0]","ripa massaranduba 5,0mt"
QUARUBARANA SERRADO EM VIGA,"['QUARUBARANA', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0]",quarubarana serrado em viga
MATAMATA-BRANCO SERRADO EM TABUA,"['MATAMATA-BRANCO', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0]",matamata-branco serrado em tabua
JARANA SERRADO EM M.I.R. CAIBRINHO,"['JARANA', 'SERRADO', 'EM', 'M.I.R.', 'CAIBRINHO']","[0, 0, 0, 0, 0]",jarana serrado em m.i.r. caibrinho
PV-ESCORREDOR DE PRATOS EM ARAME,"['PV-ESCORREDOR', 'DE', 'PRATOS', 'EM', 'ARAME']","[0, 0, 0, 0, 0]",pv-escorredor de pratos em arame
"BARROTE DE MACARANDUBA 5,0 X 6,0 X 6,0 MT BARROTE","['BARROTE', 'DE', 'MACARANDUBA', '5,0', 'X', '6,0', 'X', '6,0', 'MT', 'BARROTE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","barrote de macaranduba 5,0 x 6,0 x 6,0 mt barrote"
LINHA 3X4,"['LINHA', '3X4']","[0, 0]",linha 3x4
MACARANDUBA (RIPA) B,"['MACARANDUBA', '(RIPA)', 'B']","[0, 0, 0]",macaranduba (ripa) b
MACARANDUBA VIGA LINHA 14,"['MACARANDUBA', 'VIGA', 'LINHA', '14']","[0, 0, 0, 0]",macaranduba viga linha 14
MADEIRA SERRADA (VIGOTA) / DINIZIA EXCELSA - ANGELIM-VERMELHO,"['MADEIRA', 'SERRADA', '(VIGOTA)', '/', 'DINIZIA', 'EXCELSA', '-', 'ANGELIM-VERMELHO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (vigota) / dinizia excelsa - angelim-vermelho
IPEUBA SERRADA RIPAS,"['IPEUBA', 'SERRADA', 'RIPAS']","[0, 0, 0]",ipeuba serrada ripas
"MADEIRITE PLASTIFICADO 1,10 X 2,20 11MM","['MADEIRITE', 'PLASTIFICADO', '1,10', 'X', '2,20', '11MM']","[0, 0, 0, 0, 0, 0]","madeirite plastificado 1,10 x 2,20 11mm"
MACARANDUBA IND. DE RESIDUO RIPAS,"['MACARANDUBA', 'IND.', 'DE', 'RESIDUO', 'RIPAS']","[0, 0, 0, 0, 0]",macaranduba ind. de residuo ripas
ABIURANA SERRADA EM RIPAS,"['ABIURANA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0]",abiurana serrada em ripas
PALITO AUREA,"['PALITO', 'AUREA']","[0, 0]",palito aurea
RIPAO 1X5CM MISTO,"['RIPAO', '1X5CM', 'MISTO']","[0, 0, 0]",ripao 1x5cm misto
PEQUIA MADEIRA SERRADA TAIPA,"['PEQUIA', 'MADEIRA', 'SERRADA', 'TAIPA']","[0, 0, 0, 0]",pequia madeira serrada taipa
PV-JOGO 3 COLHERES EM MADEIRA,"['PV-JOGO', '3', 'COLHERES', 'EM', 'MADEIRA']","[0, 0, 0, 0, 0]",pv-jogo 3 colheres em madeira
SARRAFO 7X2CM MISTA,"['SARRAFO', '7X2CM', 'MISTA']","[0, 0, 0]",sarrafo 7x2cm mista
"TABUA 22X2,0CM MISTA","['TABUA', '22X2,0CM', 'MISTA']","[0, 0, 0]","tabua 22x2,0cm mista"
